job_id,salary_in_usd
job_1374,191475
job_1375,141525
job_1376,191475
job_1377,141525
job_1378,75000
job_1379,84053
job_1380,73546
job_1381,98506
job_1382,86193
job_1383,84053
job_1384,73546
job_1385,191475
job_1386,141525
job_1387,191475
job_1388,141525
job_1389,102663
job_1390,80041
job_1391,191475
job_1392,141525
job_1393,104611
job_1394,82280
job_1395,191475
job_1396,141525
job_1397,191475
job_1398,141525
job_1399,115000
job_1400,31520
job_1401,81000
job_1402,66000
job_1403,46000
job_1404,80000
job_1405,200000
job_1406,180000
job_1407,200000
job_1408,204100
job_1409,136100
job_1410,250000
job_1411,63000
job_1412,118208
job_1413,110820
job_1414,191475
job_1415,141525
job_1416,191475
job_1417,141525
job_1418,191475
job_1419,141525
job_1420,95000
job_1421,70000
job_1422,75000
job_1423,113000
job_1424,170000
job_1425,130000
job_1426,113000
job_1427,140000
job_1428,53368
job_1429,175000
job_1430,140000
job_1431,29944
job_1432,250000
job_1433,63000
job_1434,160000
job_1435,119300
job_1436,145000
job_1437,105000
job_1438,90000
job_1439,146200
job_1440,124270
job_1441,225000
job_1442,160000
job_1443,54634
job_1444,185800
job_1445,137400
job_1446,245000
job_1447,180000
job_1448,203500
job_1449,152000
job_1450,250000
job_1451,63000
job_1452,186000
job_1453,148800
job_1454,95386
job_1455,128058
job_1456,82000
job_1457,110000
job_1458,173000
job_1459,203500
job_1460,152000
job_1461,186000
job_1462,148800
job_1463,158000
job_1464,134000
job_1465,170000
job_1466,120000
job_1467,200000
job_1468,150000
job_1469,216200
job_1470,144100
job_1471,115573
job_1472,89306
job_1473,250000
job_1474,63000
job_1475,135000
job_1476,85000
job_1477,135000
job_1478,85000
job_1479,206000
job_1480,175100
job_1481,189650
job_1482,164996
job_1483,149040
job_1484,113900
job_1485,154000
job_1486,126000
job_1487,200000
job_1488,150000
job_1489,195700
job_1490,130500
job_1491,170000
job_1492,135000
job_1493,98506
job_1494,73880
job_1495,117000
job_1496,99450
job_1497,200000
job_1498,135000
job_1499,193900
job_1500,129300
job_1501,55410
job_1502,86193
job_1503,61566
job_1504,175000
job_1505,130000
job_1506,188100
job_1507,139860
job_1508,248700
job_1509,167100
job_1510,123400
job_1511,88100
job_1512,50432
job_1513,245000
job_1514,205000
job_1515,141300
job_1516,102100
job_1517,141300
job_1518,102100
job_1519,50000
job_1520,84053
job_1521,61566
job_1522,250000
job_1523,63000
job_1524,189500
job_1525,140100
job_1526,177600
job_1527,131300
job_1528,24000
job_1529,24000
job_1530,250000
job_1531,63000
job_1532,202900
job_1533,131300
job_1534,145000
job_1535,115000
job_1536,115000
job_1537,193900
job_1538,129300
job_1539,180000
job_1540,140000
job_1541,216200
job_1542,144100
job_1543,216000
job_1544,144000
job_1545,150000
job_1546,53416
job_1547,50000
job_1548,84053
job_1549,131752
job_1550,48000
job_1551,260500
job_1552,175100
job_1553,210000
job_1554,100000
job_1555,55000
job_1556,130000
job_1557,77119
job_1558,52008
job_1559,30523
job_1560,206699
job_1561,99100
job_1562,200000
job_1563,54000
job_1564,250000
job_1565,63000
job_1566,250000
job_1567,63000
job_1568,250000
job_1569,63000
job_1570,130000
job_1571,100000
job_1572,80000
job_1573,160000
job_1574,100000
job_1575,221300
job_1576,148700
job_1577,30000
job_1578,28368
job_1579,91118
job_1580,61566
job_1581,60938
job_1582,249260
job_1583,185400
job_1584,170000
job_1585,130000
job_1586,80036
job_1587,128875
job_1588,93700
job_1589,180000
job_1590,100000
job_1591,136260
job_1592,109280
job_1593,160000
job_1594,92000
job_1595,200000
job_1596,160000
job_1597,135446
job_1598,104663
job_1599,117000
job_1600,99450
job_1601,129000
job_1602,86000
job_1603,160000
job_1604,119300
job_1605,100000
job_1606,25000
job_1607,65257
job_1608,200000
job_1609,180000
job_1610,153000
job_1611,210000
job_1612,100000
job_1613,150075
job_1614,110925
job_1615,22800
job_1616,160000
job_1617,92000
job_1618,202900
job_1619,131300
job_1620,15000
job_1621,175000
job_1622,135000
job_1623,133766
job_1624,83000
job_1625,92350
job_1626,67723
job_1627,186000
job_1628,148800
job_1629,112900
job_1630,90320
job_1631,240000
job_1632,160000
job_1633,300000
job_1634,200000
job_1635,65666
job_1636,200000
job_1637,116976
